from;to
Australla;AUS
Belgium - Luxembourg;BLX
Belgium-Luxemburg;BLX
Bosnia - Herzegovina;BIH
Bosnia – Herzegovina;BIH
Byelorussia;BLR
Czechoslovakia..n.a .;CSK
D.P.R. Korea;PRK
Dem. Rep. Of Korea;PRK
DR of Germany;GDR
F. R. Germany;BRG
F. R. of Germany;BRG
F.R. Germany;BRG
F.R. of Germany;BRG
F.R. Yugoslavia;SCG
former U.S.S.R.;SUN
FR Germany;BRG
Fr Of Germany;BRG
German Dem. Rep.;GDR
German Dem. Republic;GDR
German Democratic Republic;GDR
German Dr;GDR
Luxemburg;LUX
Mainland China;CHN
Phillipines;PHL
R.o.Korea;KOR
Rep of Korea;KOR
Rep. of Korea;PRK
Rhodesia;ZWE
Rumania;ROU
Slovak Republic;SVK
Stain;ESP
Taiwan ROC;TWN
Taiwan, China;TWN
Talwan;TWN
U S S R;SUN
U.S. S. R.;SUN
U.S.S.R.;SUN
Viet Nam;VNM
Yugoslavla;SCG
Zaire;COD
