 ,CountryCode,IRSGReg
China,CHN,Asia
India,IND,Asia
Indonesia,IDN,Asia
Japan,JPN,Asia
South Korea,KOR,Asia
Malaysia,MYS,Asia
Singapore,SGP,Asia
Taiwan,TWN,Asia
Thailand,THA,Asia
Belgium,BEL,Europe
Czech Republic,CZE,Europe
France,FRA,Europe
Germany,DEU,Europe
Italy,ITA,Europe
Netherlands,NLD,Europe
Poland,POL,Europe
Spain,ESP,Europe
United Kingdom,GBR,Europe
Russia,RUS,Europe
Serbia,SRB,Europe
Argentina,ARG,Americas
Brazil,BRA,Americas
Canada,CAN,Americas
Mexico,MEX,Americas
United States of America,USA,Americas
South Africa,ZAF,Africa
Saudi Arabia,SAU,Africa
Iran,IRN,Africa
