X,CountryCode,PottingerReg,PottingerRegionName
Afghanistan,AFG,row,Majority World (MW)
Aland Islands,ALA,row,Majority World (MW)
Albania,ALB,row,Majority World (MW)
Algeria,DZA,row,Majority World (MW)
American Samoa,ASM,row,Majority World (MW)
Andorra,AND,row,Majority World (MW)
Angola,AGO,row,Majority World (MW)
Anguilla,AIA,row,Majority World (MW)
Antarctica,ATA,row,Majority World (MW)
Antigua and Barbuda,ATG,row,Majority World (MW)
Argentina,ARG,row,Majority World (MW)
Armenia,ARM,row,Majority World (MW)
Aruba,ABW,row,Majority World (MW)
Australia,AUS,row,Majority World (MW)
Austria,AUT,eu30,Europe (EU30)
Azerbaijan,AZE,row,Majority World (MW)
Bahamas,BHS,row,Majority World (MW)
Bahrain,BHR,row,Majority World (MW)
Bangladesh,BGD,row,Majority World (MW)
Barbados,BRB,row,Majority World (MW)
Belarus,BLR,row,Majority World (MW)
Belgium,BEL,eu30,Europe (EU30)
Belize,BLZ,row,Majority World (MW)
Benin,BEN,row,Majority World (MW)
Bermuda,BMU,row,Majority World (MW)
Bhutan,BTN,row,Majority World (MW)
Bolivia (Plurinational State of),BOL,row,Majority World (MW)
Bonaire,BES,row,Majority World (MW)
Bosnia and Herzegovina,BIH,row,Majority World (MW)
Botswana,BWA,row,Majority World (MW)
Bouvet Island,BVT,row,Majority World (MW)
Brazil,BRA,row,Majority World (MW)
British Indian Ocean Territory,IOT,row,Majority World (MW)
Brunei Darussalam,BRN,row,Majority World (MW)
Bulgaria,BGR,eu30,Europe (EU30)
Burkina Faso,BFA,row,Majority World (MW)
Burundi,BDI,row,Majority World (MW)
Cambodia,KHM,row,Majority World (MW)
Cameroon,CMR,row,Majority World (MW)
Canada,CAN,nafta,North America (NA)
Cape Verde,CPV,row,Majority World (MW)
Cayman Islands,CYM,row,Majority World (MW)
Central African Republic,CAF,row,Majority World (MW)
Chad,TCD,row,Majority World (MW)
Chile,CHL,row,Majority World (MW)
China,CHN,china,China
Christmas Island,CXR,row,Majority World (MW)
Cocos (Keeling) Islands,CCK,row,Majority World (MW)
Colombia,COL,row,Majority World (MW)
Comoros,COM,row,Majority World (MW)
Congo,COG,row,Majority World (MW)
Cook Islands,COK,row,Majority World (MW)
Costa Rica,CRI,row,Majority World (MW)
Cote d Ivoire,CIV,row,Majority World (MW)
Croatia,HRV,eu30,Europe (EU30)
Cuba,CUB,row,Majority World (MW)
Curacao,CUW,row,Majority World (MW)
Cyprus,CYP,eu30,Europe (EU30)
Czech Republic,CZE,eu30,Europe (EU30)
Democratic People's Republic of Korea,PRK,row,Majority World (MW)
Democratic Republic of the Congo,COD,row,Majority World (MW)
Denmark,DNK,eu30,Europe (EU30)
Djibouti,DJI,row,Majority World (MW)
Dominica,DMA,row,Majority World (MW)
Dominican Republic,DOM,row,Majority World (MW)
Ecuador,ECU,row,Majority World (MW)
Egypt,EGY,row,Majority World (MW)
El Salvador,SLV,row,Majority World (MW)
Equatorial Guinea,GNQ,row,Majority World (MW)
Eritrea,ERI,row,Majority World (MW)
