CountryCode;StegmannReg
BRA;BRA
CAN;CAN
AIA;RCAM
ABW;RCAM
BHS;RCAM
BRB;RCAM
BLZ;RCAM
BMU;RCAM
CYM;RCAM
CRI;RCAM
CUB;RCAM
DMA;RCAM
DOM;RCAM
SLV;RCAM
GRD;RCAM
GLP;RCAM
GTM;RCAM
HTI;RCAM
HND;RCAM
JAM;RCAM
MTQ;RCAM
MSR;RCAM
NIC;RCAM
PAN;RCAM
PRI;RCAM
KNA;RCAM
LCA;RCAM
VCT;RCAM
TTO;RCAM
TCA;RCAM
VGB;RCAM
VIR;RCAM
ATG;RCAM
BES;RCAM
CUW;RCAM
MAF;RCAM
SXM;RCAM
KAZ;STAN
KGZ;STAN
TJK;STAN
TKM;STAN
UZB;STAN
ALB;CEU
BIH;CEU
BGR;CEU
HRV;CEU
CYP;CEU
CZE;CEU
EST;CEU
HUN;CEU
LVA;CEU
LTU;CEU
MKD;CEU
POL;CEU
ROU;CEU
SRB;CEU
MNE;CEU
SVK;CEU
SVN;CEU
CHN;CHN
HKG;CHN
MAC;CHN
MNG;CHN
TWN;CHN
BDI;EAF
COM;EAF
DJI;EAF
ERI;EAF
ETH;EAF
KEN;EAF
MDG;EAF
MUS;EAF
MYT;EAF
REU;EAF
RWA;EAF
SYC;EAF
SOM;EAF
SSD;EAF
SDN;EAF
UGA;EAF
IND;INDIA
TLS;INDO
IDN;INDO
PNG;INDO
JPN;JAP
KOR;KOR
PRK;KOR
MEX;MEX
BHR;ME
IRN;ME
IRQ;ME
ISR;ME
JOR;ME
KWT;ME
LBN;ME
OMN;ME
PSE;ME
QAT;ME
SAU;ME
SYR;ME
ARE;ME
YEM;ME
DZA;NAF
EGY;NAF
LBY;NAF
MAR;NAF
TUN;NAF
ESH;NAF
ASM;OCE
AUS;OCE
CXR;OCE
CCK;OCE
COK;OCE
FJI;OCE
PYF;OCE
GUM;OCE
KIR;OCE
MHL;OCE
FSM;OCE
NRU;OCE
NCL;OCE
NZL;OCE
NIU;OCE
NFK;OCE
MNP;OCE
PLW;OCE
PCN;OCE
WSM;OCE
SLB;OCE
TKL;OCE
TON;OCE
TUV;OCE
VUT;OCE
WLF;OCE
ARG;RSAM
BOL;RSAM
CHL;RSAM
COL;RSAM
ECU;RSAM
FLK;RSAM
GUF;RSAM
GUY;RSAM
PRY;RSAM
PER;RSAM
SUR;RSAM
URY;RSAM
VEN;RSAM
AFG;RSAS
BGD;RSAS
BTN;RSAS
MDV;RSAS
NPL;RSAS
PAK;RSAS
LKA;RSAS
AGO;RSAF
BWA;RSAF
LSO;RSAF
MWI;RSAF
MOZ;RSAF
NAM;RSAF
SWZ;RSAF
TZA;RSAF
ZMB;RSAF
ZWE;RSAF
ARM;RUS
AZE;RUS
GEO;RUS
RUS;RUS
ZAF;SAF
BRN;SEAS
KHM;SEAS
LAO;SEAS
MYS;SEAS
MMR;SEAS
PHL;SEAS
SGP;SEAS
THA;SEAS
VNM;SEAS
TUR;TUR
BLR;UKR
MDA;UKR
UKR;UKR
SPM;USA
USA;USA
BEN;WAF
BFA;WAF
CMR;WAF
CPV;WAF
CAF;WAF
TCD;WAF
COG;WAF
COD;WAF
CIV;WAF
GNQ;WAF
GAB;WAF
GMB;WAF
GHA;WAF
GIN;WAF
GNB;WAF
LBR;WAF
MLI;WAF
MRT;WAF
NER;WAF
NGA;WAF
STP;WAF
SEN;WAF
SLE;WAF
SHN;WAF
TGO;WAF
ALA;WEU
AND;WEU
AUT;WEU
BEL;WEU
DNK;WEU
FRO;WEU
FIN;WEU
FRA;WEU
DEU;WEU
GIB;WEU
GRC;WEU
GRL;WEU
ISL;WEU
IRL;WEU
ITA;WEU
LIE;WEU
LUX;WEU
MLT;WEU
MCO;WEU
NLD;WEU
NOR;WEU
PRT;WEU
SMR;WEU
ESP;WEU
SWE;WEU
CHE;WEU
GBR;WEU
VAT;WEU
GGY;WEU
JEY;WEU
IMN;WEU
ATA;RSAM
ATF;WEU
BLM;WEU
BVT;WEU
HMD;OCE
IOT;WEU
SGS;WEU
SJM;WEU
UMI;USA
